IP,Count,Protocol
182.50.70.236,1210,IP
192.168.1.16,382,IP
40.74.79.222,4,IP
3.233.158.112,2,IP
20.189.173.24,2,IP
20.190.145.141,2,IP
20.189.173.27,2,IP
13.89.179.9,1,IP

HTTP Requests:
